Artist Name,Image Path,Artist Description
A2M,No image available,"A2M is a rap duo between the two artists Bris Brown, and Deez Stacks. The name “A2M” stands for “ass to mouth”."
Aaliyah,artist_images\Aaliyah.jpg,"Born on January 16, 1979 in Brooklyn, New York and raised in Detroit, Michigan, Aaliyah Dana Haughton, sometimes referred to as the “Princess of R&B,” was an American singer and actress who debuted in the early ‘90s. In 1989, at age ten, she appeared on the American talent television show, Star Search. In 1994, she made her debut in the music industry with her debut album, Age Ain’t Nothing But a Number."
Çağan Şengül,artist_images\Çağan Şengül.jpg,No description available
Aaron Fraser-Nash,artist_images\Aaron Fraser-Nash.jpg,"Aaron Fraser-Nash (born April 18, 1987) is an English songwriter and artist, specializing in songs related to meme culture, movies and video games."
Aaron Keyes,artist_images\Aaron Keyes.jpg,"Aaron Keyes is a singer and songwriter from Snellville, GA. Over his career, Keyes has released one independent album, two studio albums, and two live recordings; some of his top songs include “Sovereign Over Us,” “Psalm 62,” “Trust You,” and more. Keyes is also the founder of worship school 10,000 Fathers and MereWorship, a source of content made by worship leaders for worship leaders. Currently, Keyes is a worship pastor for New Life Church in Colorado Springs, CO with his wife Megan and their four sons."
Aaron Lewis,artist_images\Aaron Lewis.jpg,"Aaron Lewis (born April 13, 1972) is an American musician, who is the lead vocalist, rhythm guitarist, and founding member of the rock group Staind, with whom he has released seven studio albums. He has since ventured into country music with his debut solo EP Town Line, which was released on March 1, 2011 on Stroudavarious Records. Lewis' first full-length solo release, The Road, was released by Blaster Records on November 13, 2012"
Aaron May,artist_images\Aaron May.jpg,20 YEARS IN HOUSTON
Aaron Neville,No image available,"Aaron Neville is the lead singer of the New Orleans funk and soul group The Neville Brothers, as well as an accomplished solo singer. He is known for his angelic and soulful voice."
Aaron Smith,artist_images\Aaron Smith.jpg,"Aaron J. Simpson Smith is an American house music DJ from Chicago, Illinois. He is best known for recording a track called “Dancin'” which features female vocalist Luvli."
Aaron Tveit,artist_images\Aaron Tveit.jpg,"Aaron Tveit is an American actor and singer. He originated the roles of Gabe, Frank Abagnale Jr. and Christian in the broadway musicals Next to Normal, Catch Me If You Can, and Moulin Rouge the Musical, respectively. He also starred in film musicals as Enjolras in Les Miserables and Danny Zuko in Grease Live, as well as appearing in multiple TV shows and movies."
